,numero_viagem_da_linha_no_dia,ordem_veiculo_na_linha_no_dia,duracao_total_realizada,nome_linha,atendimento,empresa,numero_ordem_veiculo,numero_linha,hora_prevista,hora_realizada,duracao_prevista,duracao_realizada,sentido_viagem
0,1,1,80.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 05:30:00,2020-10-04 05:26:00,45,40.0,ida
1,2,1,80.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 06:15:00,2020-10-04 06:06:00,45,40.0,volta
2,3,1,88.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 07:00:00,2020-10-04 06:58:00,45,43.0,ida
3,4,1,88.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 07:45:00,2020-10-04 07:42:00,45,44.0,volta
4,5,1,87.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 08:30:00,2020-10-04 08:31:00,45,44.0,ida
5,6,1,87.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 09:15:00,2020-10-04 09:15:00,45,43.0,volta
6,7,1,90.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 10:00:00,2020-10-04 10:03:00,45,45.0,ida
7,8,1,90.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 10:45:00,2020-10-04 10:49:00,45,44.0,volta
8,9,1,80.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 12:30:00,2020-10-04 12:24:00,45,42.0,ida
9,10,1,80.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 13:15:00,2020-10-04 13:07:00,45,37.0,volta
10,11,1,88.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 14:00:00,2020-10-04 13:58:00,45,44.0,ida
11,12,1,88.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 14:45:00,2020-10-04 14:43:00,45,43.0,volta
12,13,1,92.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 15:30:00,2020-10-04 15:32:00,45,47.0,ida
13,14,1,92.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 16:15:00,2020-10-04 16:20:00,45,44.0,volta
14,15,1,107.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 17:00:00,2020-10-04 17:10:00,45,49.0,ida
15,16,1,107.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 17:45:00,2020-10-04 18:00:00,45,57.0,volta
16,17,1,96.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 19:30:00,2020-10-04 19:32:00,45,49.0,ida
17,18,1,96.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 20:15:00,2020-10-04 20:22:00,45,46.0,volta
18,19,1,78.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 21:00:00,2020-10-04 21:10:00,45,39.0,ida
19,20,1,78.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 21:45:00,2020-10-04 21:50:00,50,38.0,volta
20,21,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 04:30:00,2020-10-04 04:24:00,15,9.0,ida
21,22,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 04:45:00,2020-10-04 04:36:00,15,10.0,volta
22,23,1,21.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 05:15:00,2020-10-04 05:12:00,15,9.0,ida
23,24,1,21.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 05:30:00,2020-10-04 05:24:00,15,9.0,volta
